STATE,RACE,cases,WHITE,BLACK,OTHERS,HISPANIC
AK,WHITE,2,1,0,0,0
AL,BLACK,7,0,1,0,0
AL,WHITE,13,1,0,0,0
AR,BLACK,1,0,1,0,0
AR,WHITE,11,1,0,0,0
AZ,BLACK,1,0,1,0,0
AZ,HISPANIC,1,0,0,0,1
AZ,OTHERS,1,0,0,1,0
AZ,WHITE,10,1,0,0,0
CA,BLACK,6,0,1,0,0
CA,HISPANIC,8,0,0,0,1
CA,OTHERS,10,0,0,1,0
CA,WHITE,65,1,0,0,0
CO,HISPANIC,1,0,0,0,1
CO,OTHERS,1,0,0,1,0
CO,WHITE,11,1,0,0,0
CT,BLACK,2,0,1,0,0
CT,OTHERS,1,0,0,1,0
CT,WHITE,13,1,0,0,0
DC,BLACK,1,0,1,0,0
DE,WHITE,4,1,0,0,0
FL,BLACK,10,0,1,0,0
FL,HISPANIC,7,0,0,0,1
FL,OTHERS,1,0,0,1,0
FL,WHITE,64,1,0,0,0
GA,BLACK,8,0,1,0,0
GA,WHITE,12,1,0,0,0
HI,OTHERS,4,0,0,1,0
HI,WHITE,2,1,0,0,0
IA,WHITE,17,1,0,0,0
ID,WHITE,3,1,0,0,0
IL,BLACK,6,0,1,0,0
IL,OTHERS,1,0,0,1,0
IL,WHITE,37,1,0,0,0
IN,BLACK,5,0,1,0,0
IN,WHITE,17,1,0,0,0
KS,BLACK,1,0,1,0,0
KS,OTHERS,1,0,0,1,0
KS,WHITE,16,1,0,0,0
KY,BLACK,3,0,1,0,0
KY,WHITE,14,1,0,0,0
LA,BLACK,6,0,1,0,0
LA,WHITE,12,1,0,0,0
MA,BLACK,1,0,1,0,0
MA,OTHERS,2,0,0,1,0
MA,WHITE,32,1,0,0,0
MD,BLACK,4,0,1,0,0
MD,OTHERS,1,0,0,1,0
MD,WHITE,12,1,0,0,0
ME,WHITE,7,1,0,0,0
MI,BLACK,3,0,1,0,0
MI,WHITE,32,1,0,0,0
MN,HISPANIC,1,0,0,0,1
MN,WHITE,11,1,0,0,0
MO,BLACK,7,0,1,0,0
MO,WHITE,27,1,0,0,0
MS,BLACK,3,0,1,0,0
MS,WHITE,7,1,0,0,0
MT,WHITE,3,1,0,0,0
NC,BLACK,11,0,1,0,0
NC,OTHERS,1,0,0,1,0
NC,WHITE,29,1,0,0,0
ND,WHITE,3,1,0,0,0
NE,WHITE,10,1,0,0,0
NH,WHITE,9,1,0,0,0
NJ,BLACK,1,0,1,0,0
NJ,HISPANIC,1,0,0,0,1
NJ,OTHERS,2,0,0,1,0
NJ,WHITE,29,1,0,0,0
NM,HISPANIC,1,0,0,0,1
NV,WHITE,4,1,0,0,0
NY,BLACK,9,0,1,0,0
NY,HISPANIC,7,0,0,0,1
NY,OTHERS,5,0,0,1,0
NY,WHITE,67,1,0,0,0
OH,BLACK,1,0,1,0,0
OH,OTHERS,3,0,0,1,0
OH,WHITE,40,1,0,0,0
OK,BLACK,3,0,1,0,0
OK,OTHERS,1,0,0,1,0
OK,WHITE,11,1,0,0,0
OR,WHITE,15,1,0,0,0
Others,BLACK,1,0,1,0,0
Others,HISPANIC,2,0,0,0,1
Others,WHITE,4,1,0,0,0
PA,BLACK,5,0,1,0,0
PA,OTHERS,2,0,0,1,0
PA,WHITE,54,1,0,0,0
RI,WHITE,1,1,0,0,0
SC,BLACK,4,0,1,0,0
SC,WHITE,14,1,0,0,0
SD,WHITE,2,1,0,0,0
TN,BLACK,3,0,1,0,0
TN,WHITE,23,1,0,0,0
TX,BLACK,13,0,1,0,0
TX,HISPANIC,6,0,0,0,1
TX,OTHERS,3,0,0,1,0
TX,WHITE,80,1,0,0,0
UT,WHITE,2,1,0,0,0
VA,BLACK,4,0,1,0,0
VA,OTHERS,1,0,0,1,0
VA,WHITE,21,1,0,0,0
VT,WHITE,4,1,0,0,0
WA,BLACK,2,0,1,0,0
WA,WHITE,22,1,0,0,0
WI,BLACK,5,0,1,0,0
WI,WHITE,18,1,0,0,0
WV,WHITE,7,1,0,0,0
WY,WHITE,2,1,0,0,0
