STATE,SEX,cases,MALE,FEMALE
AK,FEMALE,4,0,1
AK,MALE,5,1,0
AL,FEMALE,62,0,1
AL,MALE,43,1,0
AR,FEMALE,45,0,1
AR,MALE,29,1,0
AZ,FEMALE,50,0,1
AZ,MALE,41,1,0
CA,FEMALE,275,0,1
CA,MALE,194,1,0
CO,FEMALE,43,0,1
CO,MALE,27,1,0
CT,FEMALE,41,0,1
CT,MALE,27,1,0
DC,FEMALE,11,0,1
DC,MALE,5,1,0
DE,FEMALE,13,0,1
DE,MALE,9,1,0
FL,FEMALE,233,0,1
FL,MALE,171,1,0
GA,FEMALE,136,0,1
GA,MALE,53,1,0
HI,FEMALE,5,0,1
HI,MALE,17,1,0
IA,FEMALE,37,0,1
IA,MALE,35,1,0
ID,FEMALE,13,0,1
ID,MALE,9,1,0
IL,FEMALE,145,0,1
IL,MALE,110,1,0
IN,FEMALE,68,0,1
IN,MALE,50,1,0
KS,FEMALE,31,0,1
KS,MALE,26,1,0
KY,FEMALE,59,0,1
KY,MALE,47,1,0
LA,FEMALE,42,0,1
LA,MALE,37,1,0
MA,FEMALE,81,0,1
MA,MALE,53,1,0
MD,FEMALE,58,0,1
MD,MALE,43,1,0
ME,FEMALE,24,0,1
ME,MALE,11,1,0
MI,FEMALE,128,0,1
MI,MALE,78,1,0
MN,FEMALE,51,0,1
MN,MALE,48,1,0
MO,FEMALE,78,0,1
MO,MALE,54,1,0
MS,FEMALE,55,0,1
MS,MALE,31,1,0
MT,FEMALE,12,0,1
MT,MALE,7,1,0
NC,FEMALE,119,0,1
NC,MALE,83,1,0
ND,FEMALE,11,0,1
ND,MALE,5,1,0
NE,FEMALE,24,0,1
NE,MALE,11,1,0
NH,FEMALE,19,0,1
NH,MALE,11,1,0
NJ,FEMALE,108,0,1
NJ,MALE,79,1,0
NM,FEMALE,17,0,1
NM,MALE,10,1,0
NV,FEMALE,22,0,1
NV,MALE,12,1,0
NY,FEMALE,188,0,1
NY,MALE,139,1,0
OH,FEMALE,140,0,1
OH,MALE,85,1,0
OK,FEMALE,35,0,1
OK,MALE,38,1,0
OR,FEMALE,26,0,1
OR,MALE,24,1,0
Others,FEMALE,29,0,1
Others,MALE,24,1,0
PA,FEMALE,172,0,1
PA,MALE,85,1,0
RI,FEMALE,9,0,1
RI,MALE,12,1,0
SC,FEMALE,55,0,1
SC,MALE,35,1,0
SD,FEMALE,12,0,1
SD,MALE,9,1,0
TN,FEMALE,88,0,1
TN,MALE,50,1,0
TX,FEMALE,211,0,1
TX,MALE,146,1,0
UT,FEMALE,20,0,1
UT,MALE,13,1,0
VA,FEMALE,77,0,1
VA,MALE,60,1,0
VT,FEMALE,6,0,1
VT,MALE,8,1,0
WA,FEMALE,68,0,1
WA,MALE,47,1,0
WI,FEMALE,50,0,1
WI,MALE,38,1,0
WV,FEMALE,25,0,1
WV,MALE,22,1,0
WY,FEMALE,6,0,1
WY,MALE,1,1,0
