"","STATE","COUNTY","cases","lat","lon","check"
"1","AK","FAIRBANKS NORTH STAR",1,64.644047,-147.522052,"FAIRBANKS NORTH STAR"
"2","AK","MATANUSKA-SUSITNA",2,62.257284,-149.633916,"MATANUSKA-SUSITNA"
"3","AL","BALDWIN",2,30.763492,-87.756371,"BALDWIN"
"4","AL","BARBOUR",1,31.805322,-85.421299,"BARBOUR"
"5","AL","CALHOUN",1,33.759768,-85.792328,"CALHOUN"
"6","AL","CHAMBERS",1,32.783137,-85.275581,"CHAMBERS"
"7","AL","COFFEE",1,31.407434,-86.083517,"COFFEE"
"8","AL","COLBERT",2,34.733866,-87.90624,"COLBERT"
"9","AL","COVINGTON",2,31.260882,-86.444833,"COVINGTON"
"10","AL","CRENSHAW",1,31.560143,-86.327501,"CRENSHAW"
"11","AL","DE KALB",1,34.337295,-85.85769,"DE KALB"
"12","AL","ELMORE",1,32.505625,-86.332245,"ELMORE"
"13","AL","ESCAMBIA",1,31.129427,-87.096126,"ESCAMBIA"
"14","AL","ETOWAH",1,34.024285,-86.074145,"ETOWAH"
"15","AL","HOUSTON",2,31.148124,-85.371845,"HOUSTON"
"16","AL","JACKSON",1,34.799983,-85.803464,"JACKSON"
"17","AL","JEFFERSON",7,33.578097,-86.987228,"JEFFERSON"
"18","AL","LAWRENCE",1,34.673954,-87.28962,"LAWRENCE"
"19","AL","LEE",2,32.621147,-85.392878,"LEE"
"20","AL","MADISON",2,34.719303,-86.475425,"MADISON"
"21","AL","MOBILE",3,30.939368,-88.015868,"MOBILE"
"22","AL","MONTGOMERY",1,32.310624,-86.186132,"MONTGOMERY"
"23","AL","MORGAN",2,34.549833,-86.995551,"MORGAN"
"24","AL","RANDOLPH",1,33.456308,-85.369167,"RANDOLPH"
"25","AL","RUSSELL",1,32.286092,-85.161497,"RUSSELL"
"26","AL","SHELBY",2,33.193415,-86.794377,"SHELBY"
"27","AL","ST. CLAIR",1,33.603543,-86.466833,"ST. CLAIR"
"28","AL","TUSCALOOSA",5,33.241899,-87.597599,"TUSCALOOSA"
"29","AR","BAXTER",1,36.42957,-92.325688,"BAXTER"
"30","AR","BENTON",3,36.397805,-94.043837,"BENTON"
"31","AR","CARROLL",1,36.431111,-93.699392,"CARROLL"
"32","AR","COLUMBIA",1,33.112106,-93.203998,"COLUMBIA"
"33","AR","CRAWFORD",1,35.479157,-94.193334,"CRAWFORD"
"34","AR","CRITTENDEN",1,35.210811,-90.203849,"CRITTENDEN"
"35","AR","FAULKNER",1,35.146446,-92.376466,"FAULKNER"
"36","AR","GARLAND",1,34.526841,-92.958697,"GARLAND"
"37","AR","GREENE",1,32.737366,-87.967724,"GREENE"
"38","AR","IZARD",2,36.185457,-91.915187,"IZARD"
"39","AR","JEFFERSON",1,33.578097,-86.987228,"JEFFERSON"
"40","AR","LEE",1,32.621147,-85.392878,"LEE"
"41","AR","LINCOLN",1,34.024648,-91.626178,"LINCOLN"
"42","AR","LOGAN",2,35.130561,-93.749342,"LOGAN"
"43","AR","PIKE",1,31.839131,-85.928538,"PIKE"
"44","AR","PULASKI",2,34.694468,-92.425087,"PULASKI"
"45","AR","RANDOLPH",1,33.456308,-85.369167,"RANDOLPH"
"46","AR","SEBASTIAN",1,35.231245,-94.339412,"SEBASTIAN"
"47","AR","UNION",2,33.266043,-92.597514,"UNION"
"48","AR","WHITE",2,35.331399,-91.520754,"WHITE"
"49","AZ","APACHE",2,34.177052,-109.240647,"APACHE"
"50","AZ","COCONINO",1,35.537441,-111.27586,"COCONINO"
"51","AZ","GILA",1,33.576401,-110.855618,"GILA"
"52","AZ","GREENLEE",1,32.991251,-109.255872,"GREENLEE"
"53","AZ","LAPAZ",1,33.95782,-114.003634,"LAPAZ"
"54","AZ","MARICOPA",14,33.703967,-112.351835,"MARICOPA"
"55","AZ","MOHAVE",2,35.74782,-113.8106,"MOHAVE"
"56","AZ","PIMA",9,31.970131,-111.890713,"PIMA"
"57","AZ","PINAL",2,33.393398,-111.478975,"PINAL"
"58","AZ","YAVAPAI",1,34.075451,-112.134005,"YAVAPAI"
"59","CA","ALAMEDA",4,37.770563,-122.264779,"ALAMEDA"
"60","CA","AMADOR",2,38.418568,-120.831845,"AMADOR"
"61","CA","BUTTE",1,39.409669,-121.406274,"BUTTE"
"62","CA","CONTRA COSTA",7,37.832075,-121.916718,"CONTRA COSTA"
"63","CA","EL DORADO",1,38.81419,-120.895188,"EL DORADO"
"64","CA","FRESNO",7,36.247025,-120.381432,"FRESNO"
"65","CA","HUMBOLDT",1,40.646324,-124.025773,"HUMBOLDT"
"66","CA","IMPERIAL",1,32.782242,-114.561905,"IMPERIAL"
"67","CA","KERN",4,35.311064,-118.659604,"KERN"
"68","CA","KINGS",1,36.316529,-119.704594,"KINGS"
"69","CA","LASSEN",1,41.131506,-121.128616,"LASSEN"
"70","CA","LOS ANGELES",55,33.973951,-118.248405,"LOS ANGELES"
"71","CA","MADERA",1,37.379045,-119.736326,"MADERA"
"72","CA","MARIN",3,37.970948,-122.504286,"MARIN"
"73","CA","MERCED",1,37.073301,-120.623363,"MERCED"
"74","CA","MODOC",1,41.236677,-120.932949,"MODOC"
"75","CA","MONTEREY",4,35.907585,-120.937371,"MONTEREY"
"76","CA","NAPA",3,38.57145,-122.450215,"NAPA"
"77","CA","NEVADA",1,33.70082,-93.294126,"NEVADA"
"78","CA","ORANGE",20,33.640302,-117.769442,"ORANGE"
"79","CA","PLACER",2,39.014933,-121.07047,"PLACER"
"80","CA","RIVERSIDE",11,33.752886,-116.055617,"RIVERSIDE"
"81","CA","SACRAMENTO",13,38.380456,-121.555406,"SACRAMENTO"
"82","CA","SAN BENITO",1,36.828078,-121.3924,"SAN BENITO"
"83","CA","SAN BERNARDINO",16,34.839964,-115.967051,"SAN BERNARDINO"
"84","CA","SAN DIEGO",21,32.74081,-116.976341,"SAN DIEGO"
"85","CA","SAN FRANCISCO",6,37.784827,-122.727802,"SAN FRANCISCO"
"86","CA","SAN JOAQUIN",5,37.672196,-121.298794,"SAN JOAQUIN"
"87","CA","SAN LUIS OBISPO",2,35.265573,-120.62122,"SAN LUIS OBISPO"
"88","CA","SAN MATEO",5,37.516644,-122.29339,"SAN MATEO"
"89","CA","SANTA BARBARA",2,34.405045,-119.520525,"SANTA BARBARA"
"90","CA","SANTA CLARA",9,37.238842,-121.885066,"SANTA CLARA"
"91","CA","SANTA CRUZ",1,31.609653,-110.563551,"SANTA CRUZ"
"92","CA","SHASTA",2,40.675738,-122.456982,"SHASTA"
"93","CA","SOLANO",3,38.1012,-122.032061,"SOLANO"
"94","CA","SONOMA",1,38.351416,-122.974134,"SONOMA"
"95","CA","STANISLAUS",1,37.561889,-120.967976,"STANISLAUS"
"96","CA","TEHAMA",1,40.125399,-122.135411,"TEHAMA"
"97","CA","TULARE",2,35.85829,-119.303735,"TULARE"
"98","CA","VENTURA",5,34.032383,-119.1343,"VENTURA"
"99","CO","ADAMS",1,39.788286,-104.822765,"ADAMS"
"100","CO","ARAPAHOE",3,39.715287,-104.84748,"ARAPAHOE"
"101","CO","BOULDER",1,40.046064,-105.097151,"BOULDER"
"102","CO","DELTA",1,38.805013,-107.983125,"DELTA"
"103","CO","DENVER",3,39.726303,-104.856808,"DENVER"
"104","CO","DOUGLAS",1,39.374779,-104.849988,"DOUGLAS"
"105","CO","EL PASO",7,39.086393,-104.807666,"EL PASO"
"106","CO","GARFIELD",1,39.500281,-107.585235,"GARFIELD"
"107","CO","GRAND",1,39.958523,-105.792637,"GRAND"
"108","CO","JEFFERSON",5,33.578097,-86.987228,"JEFFERSON"
"109","CO","LARIMER",2,40.628112,-105.569245,"LARIMER"
"110","CO","MESA",1,39.069019,-108.583126,"MESA"
"111","CO","MORGAN",1,34.549833,-86.995551,"MORGAN"
"112","CO","PUEBLO",1,38.344117,-104.427776,"PUEBLO"
"113","CO","WELD",2,40.129416,-104.970816,"WELD"
"114","CT","FAIRFIELD",10,41.165097,-73.129186,"FAIRFIELD"
"115","CT","HARTFORD",9,41.757944,-72.728272,"HARTFORD"
"116","CT","LITCHFIELD",4,42.001585,-73.295891,"LITCHFIELD"
"117","CT","MIDDLESEX",1,41.349098,-72.41338,"MIDDLESEX"
"118","CT","NEW HAVEN",2,41.342514,-73.070301,"NEW HAVEN"
"119","CT","NEW LONDON",2,41.628008,-72.245422,"NEW LONDON"
"120","DC","THE DISTRICT",6,38.911936,-77.016719,"THE DISTRICT"
"121","DE","KENT",1,39.156376,-75.49549,"KENT"
"122","DE","NEW CASTLE",5,39.594736,-75.693903,"NEW CASTLE"
"123","DE","SUSSEX",1,38.555533,-75.186955,"SUSSEX"
"124","FL","ALACHUA",2,29.68041,-82.345739,"ALACHUA"
"125","FL","BAY",3,30.1922,-85.663027,"BAY"
"126","FL","BREVARD",3,28.699314,-80.895344,"BREVARD"
"127","FL","BROWARD",10,26.062416,-80.159667,"BROWARD"
"128","FL","CHARLOTTE",1,26.901981,-82.000005,"CHARLOTTE"
"129","FL","CITRUS",2,28.867027,-82.572703,"CITRUS"
"130","FL","CLAY",2,33.116229,-86.138624,"CLAY"
"131","FL","COLLIER",3,25.855534,-81.38719,"COLLIER"
"132","FL","COLUMBIA",2,33.112106,-93.203998,"COLUMBIA"
"133","FL","DUVAL",13,30.337538,-81.768622,"DUVAL"
"134","FL","ESCAMBIA",2,31.129427,-87.096126,"ESCAMBIA"
"135","FL","FLAGLER",1,29.402177,-81.33425,"FLAGLER"
"136","FL","GLADES",1,26.886471,-81.195575,"GLADES"
"137","FL","HERNANDO",3,28.586197,-82.395858,"HERNANDO"
"138","FL","HIGHLANDS",6,27.473059,-81.464053,"HIGHLANDS"
"139","FL","HILLSBOROUGH",9,27.764761,-82.273409,"HILLSBOROUGH"
"140","FL","INDIAN RIVER",2,27.775251,-80.609403,"INDIAN RIVER"
"141","FL","JEFFERSON",1,33.578097,-86.987228,"JEFFERSON"
"142","FL","LAKE",5,38.946476,-122.657017,"LAKE"
"143","FL","LEE",3,32.621147,-85.392878,"LEE"
"144","FL","LEON",1,30.418514,-84.203379,"LEON"
"145","FL","LEVY",1,29.431045,-82.549823,"LEVY"
"146","FL","MARION",5,34.16493,-87.739592,"MARION"
"147","FL","MARTIN",4,27.050934,-80.158594,"MARTIN"
"148","FL","MIAMI-DADE",21,25.558428,-80.458168,"MIAMI-DADE"
"149","FL","MONROE",1,31.56779,-87.250028,"MONROE"
"150","FL","OKALOOSA",1,30.85525,-86.674139,"OKALOOSA"
"151","FL","OKEECHOBEE",1,27.420316,-80.945361,"OKEECHOBEE"
"152","FL","ORANGE",8,33.640302,-117.769442,"ORANGE"
